Class,Reason,type_name,
Q263233,Too specific,United States presidential inauguration,
Q464122,Too specific,coronation of the British monarch,
Q221409,Too specific,encyclical,
Q651270,Too specific,letter to the editor,
Q159979,Not event,twin,
Q101086122,Not event,conference welcome message,
Q133004,Not event,diaspora,
Q61927259,Too specific,Holocaust train journey,
Q52721923,Not event,high-voltage overhead power line,
Q1939150,Not event,power cable,
Q506572,Not event,submarine communications cable,
Q21484471,Not event,Wikipedia article covering multiple topics,
Q14946528,Not event,conflation,
Q631229,Not event,arcade system board,
Q96482904,Too specific,decision of the Supreme Court of Sweden,
Q19692072,Too specific,United States Supreme Court decision,
Q96251253,Too specific,Supreme Court of Israel decision,
Q15078695,Too specific,Swiss federal popular initiative,
Q1255828,Not event,controversy,
Q19930933,Too specific,decision of the Supreme Court of Canada,
Q847301,Too specific,political campaign,
Q2101619,Not event,political slogan,
Q216169,Too specific,execution by firing squad,
Q3631225,Too specific,methanol poisoning,
Q1958056,Too specific,science fiction convention,
Q54805501,Too specific,German Librarians Day Conference,
Q111161,Not event,synod,
Q7137437,Too specific,Parish meeting,
Q40444998,Too specific,academic workshop,
Q2288051,Too specific,party conference,
Q10551516,Not event,church council,
Q15280243,Too specific,mayoral election,
Q15261477,Too specific,gubernatorial election,
Q3586951,Too specific,Quebec general election,
Q22342153,Too specific,Moroccan parliamentary election,
Q26772977,Too specific,state election in Germany,
Q24333627,Too specific,United States Senate election,
Q5116010,Too specific,election to the Parliament of Catalonia,
Q7085670,Too specific,Oldham Metropolitan Borough Council election,
Q24097670,Too specific,voting round,
Q2618461,Too specific,legislative election,
Q152450,Too specific,municipal election,
Q1076105,Too specific,general election,
Q7832574,Too specific,Trafford Metropolitan Borough Council election,
Q7999562,Too specific,Wigan Metropolitan Borough Council election,
Q1128324,Too specific,election to the European Parliament,
Q7681174,Too specific,Tameside Metropolitan Borough Council election,
Q3587541,Too specific,French senate elections,
Q76853179,Too specific,group of elections,
Q24397514,Too specific,United States House of Representatives election,
Q7404395,Too specific,Salford City Council election,
Q15154951,Too specific,municipal elections in Finland,
Q65152203,Too specific,2019 Bulgarian local elections,
Q10271409,Too specific,Portuguese local elections,
Q7618182,Too specific,Stockport Metropolitan Borough Council election,
Q16152241,Too specific,Manchester City Council election,
Q5001131,Too specific,Bury Metropolitan Borough Council election,
Q7353823,Too specific,Rochdale Metropolitan Borough Council election,
Q4940252,Too specific,Bolton Metropolitan Borough Council election,
Q1057954,Too specific,by-election,
Q25080094,Too specific,primary election in the United States,
Q669262,Too specific,primary election,
Q3722112,Too specific,municipal election in Italy,
Q6508670,Too specific,leadership election,
Q7232773,Too specific,Portuguese legislative elections,
Q7864918,Too specific,UK Parliamentary by-election,
Q10271631,Too specific,Municipal election in Brazil,
Q26252880,Too specific,United States general election,
Q15966540,Too specific,local election,
Q3587332,Too specific,"French municipal elections, 2014",
Q26466721,Too specific,special election to the United States House of Representatives,
Q2540467,Too specific,elections in Spain,
Q8142,Not event,currency,
Q13479982,Not event,cryptocurrency,
Q855973,Not event,commemorative coin,
Q834351,Not event,currency money,
Q15310171,Not event,seaport,
Q18984099,Not event,ferry route,
Q15079663,Not event,rapid transit railway line,
Q515449,Not event,Regionalbahn,
Q107274313,Not event,commuter rail service,
Q15141321,Not event,train service,
Q1192191,Not event,airport rail link,
Q1412403,Not event,commuter rail,
Q1022147,Not event,inter-city rail,
Q15145537,Not event,light rail line,
Q50331459,Not event,S-Bahn route,
Q7835189,Not event,transit district,
Q1141795,Too specific,Kentucky Derby,
Q67454740,Not event,named passenger train service,
Q10874184,Not event,China Railway train service,
Q3565868,Not event,rail transport,
Q104666804,Not event,rail transport by country or region,
Q5421693,Not event,Express trains in India,
Q17422,Too specific,same-sex marriage,
Q18043413,Not event,supermarket chain,
Q41207,Not event,coin,
Q25392373,Not event,fund,
Q430660,Not in English,휴대폰 소액결제,
Q1268865,Not event,light rail,
Q5503,Not event,rapid transit,
Q4201895,Not event,investment fund,
Q39049892,Not event,ERC20,
Q2640178,Not event,pay scale,
Q1365703,Not event,mobile payment,
Q2140646,Not event,Stadtbahn,
Q207842,Not event,medium-capacity rail transport system,
Q10968259,Not event,stipend,
Q1156811,Not event,performance-related pay,
Q728265,Not event,royalties,
Q1270515,Not event,octroi,
Q188823,Not event,scholarship,
Q311255,Not event,unemployment benefit,
Q7544035,Not event,smart contract,
Q56188162,Too specific,South Australian Legislative Council election,
Q25448839,Too specific,Honduran legislative election,
Q3586840,Too specific,2011 French cantonal elections,
Q235041,Not event,cash register,
Q756202,Not event,reserve currency,
Q91908084,Not event,passenger train service,
Q22696329,Too specific,Bolivian legislative election,
Q3722420,Too specific,Italian general election,
Q998426,Not event,bookselling,
Q763256,Not event,air medical services,
Q65962109,Not event,HVDC submarine cable,
Q26260699,Too specific,State Assembly elections in Kerala,
Q786803,Not event,car dealership,
Q55426935,Too specific,Wikimedia meetups in Kolkata,
Q321654,Too specific,Grosser Preis von Baden,
Q92480586,Too specific,1996 Cypriot Mayors Elections,
Q28649370,Too specific,Philippine House election,
Q15334263,Not event,mRNA export from nucleus,
Q110716513,Too specific,scholarly letter/reply,
Q20180855,Too specific,train ferry route,
Q85811908,Too specific,uncontested election,
Q11267645,Too specific,Japanese general election,
Q47566,Too specific,United States presidential election,
Q1144784,Too specific,Véhicule Automatique Léger,
Q10271630,Too specific,Swedish municipal elections,
Q2139567,Too specific,Imperial Conference,
Q92482736,Too specific,1986 Cypriot Municipal Councils Elections,
Q11890047,Too specific,French cantonal election,
Q18564543,Too specific,international conference,
Q26260402,Too specific,Republic of China general election,
Q98381912,Too specific,online scholarly workshop,
Q20639925,Too specific,campaign for the 2016 United States presidential election,
Q183482,Too specific,National Congress of the Communist Party of China,
Q22269206,Too specific,Polish parliamentary election,
Q22266583,Too specific,Irish general election,
Q11163656,Too specific,direct mayoral election in Norway,
Q28406203,Too specific,Exercise Croix du Sud,
Q2903538,Not event,banknotes of French franc,
Q1311060,Too specific,Melbourne Cup,
Q856568,Too specific,Bibliothekskongress,
Q2264757,Not event,Sea transport systems,
Q5153967,Too specific,communal violence,
Q2039061,Not event,windbreak,
Q48426334,Too specific,estate sale,
Q918448,Not event,denomination,
Q5381256,Not event,environmental impact of the petroleum industry,
Q192270,Too generic,consumption,
Q24567296,Too specific,Indonesian legislative election,
Q3587386,Too specific,French Presidential election under the Third Republic,
Q106484373,Not event,gem fusion,
Q216158,Not event,expansion card,
Q5828421,Too specific,Chilean parliamentary election,
Q27406,Not event,polemic,
Q63117399,Not event,historical pound,
Q20730691,Too specific,death in police custody,
Q2055296,Too specific,elections in Switzerland,
Q4861618,Too specific,Barnet London Borough Council election,
Q21994376,Too specific,war of independence,
Q28783456,Not event,obsolete currency,
Q11202642,Not event,commercial fishing,
Q92482728,Too specific,1991 Cypriot Municipal Councils Elections,
Q54856399,Too specific,Wikimedia conference,
Q715695,Too specific,strategic bombing during World War II,
Q335918,Too specific,popular initiative,
Q2993090,Too specific,SAT Congress,
Q56220509,Too specific,annual conference,
Q964162,Not event,express train,
Q975595,Not event,river transport,
Q15589476,Too specific,population transfer,
Q1498464,Too specific,secret trial,
Q6936320,Too specific,Municipal elections in Canada,
Q2672648,Too generic,social conflict,
Q1458216,Too specific,Popular consultation,
Q529938,Not event,InterCity,
Q28966115,Too specific,G7 summit,
Q1499496,Too specific,German presidential election,
Q4117949,Not event,submarine power cable,
Q16939528,Too specific,general election in Malta,
Q829492,Not event,procurement,
Q14905129,Not event,amino acid transport,
Q1548025,Not event,retail banking,
Q375102,Too specific,rear-end collision,
Q17317625,Too specific,South African general election,
Q37807168,Too specific,WikidataCon,
Q3043499,Too specific,papal renunciation,
Q10855380,Too specific,public execution,
Q4354526,Not event,amnesty law,
Q80111632,Too specific,baseless criminal charge,
Q837999,Too specific,novitiate,
Q370607,Not event,high-voltage direct current power line,
Q29102902,Too specific,papal election,
Q512399,Too specific,unmanned spaceflight,
Q3588250,Too specific,ethnic riot,
Q11642595,Too specific,election campaign,
Q1543677,Too specific,web conference,
Q484847,Not event,e-commerce,
Q1129398,Too specific,fan convention,
Q1257361,Not event,alternative currency,
Q2144320,Not event,overhead power line,
Q4393809,Too specific,referendums in Switzerland,
Q179226,Not event,equestrianism,
Q18562917,Not event,high-voltage power line,
Q752783,Too specific,human spaceflight,
Q10836209,Not event,digital currency,
Q4931513,Not event,boat service,
Q47433,Not event,banknote,
